snRNAseq Supplementary Data Table of Contents (& Where to Find Large Data Files),,,,,
"Updated January 3, 2022 - for questions, contact ogoldman@rockefeller.edu",,,,,
,,,,,
All supplementary analysis is in the following repository:,,,,,
https://github.com/VosshallLab/Younger_Herre_Vosshall2020,,,,,
"snRNAseq data files, scripts, and expression matricies are in a separate repository:",,,,,
https://github.com/VosshallLab/Younger_Herre_Vosshall2020_LFS,,,,,
,,,,,
TISSUE,LOCATION,DESCRIPTION,DATA FILE NAME (located in Younger_Herre_Vosshall2020_LFS/Data),SCRIPT FILE NAME (located in Younger_Herre_Vosshall2020_LFS/Scripts),GITHUB LINK (IF APPLICABLE)
Antenna,Figure S11A,"Gene Expression Violin Plot (Ir41a, Or82, Or4, Ir64a, Gr77, Ir8a, Or47, Ir41k)",AntennaNeurons.RData,ViolinPlots.R,
Antenna,Figure S11B,Coexpression Heatmap Ir41k,AntennaNeurons.RData,CoexpressionHeatmaps.R,
Antenna,Figure S11C-F,"Simplified Coexpression Heatmap (Ir41a, Ir8a, Gr77, Or47)",AntennaNeurons.RData,SimplifiedCoexpressionHeatmaps.R,
Antenna,Github: Younger_Herre_Vosshall2020,PseudoBulk Tables,AntennaNeurons.RData,PseudoBulkTables.R,https://github.com/VosshallLab/Younger_Herre_Vosshall2020/tree/main/snRNAseq_SupplementaryData/PseudobulkTables
Antenna,Github: Younger_Herre_Vosshall2020,Gene Expression Feature Plots,AntennaNeurons.RData,FeaturePlots.R,https://github.com/VosshallLab/Younger_Herre_Vosshall2020/tree/main/snRNAseq_SupplementaryData/Antenna_FeaturePlots
Antenna,Github: Younger_Herre_Vosshall2020,Gene Expression Violin Plots,AntennaNeurons.RData,ViolinPlots.R,https://github.com/VosshallLab/Younger_Herre_Vosshall2020/tree/main/snRNAseq_SupplementaryData/Antenna_ViolinPlots
Antenna,Github: Younger_Herre_Vosshall2020,Broad Coexpression Heatmaps by Neuron Cluster,AntennaNeurons.RData,CoexpressionHeatmaps.R,https://github.com/VosshallLab/Younger_Herre_Vosshall2020/tree/main/snRNAseq_SupplementaryData/Antennae_BroadCoexpressionHeatmaps_byOriginalClusters
Antenna,Github: Younger_Herre_Vosshall2020,Broad Coexpression Heatmaps by Chemoreceptor,AntennaNeurons.RData,CoexpressionHeatmaps.R,https://github.com/VosshallLab/Younger_Herre_Vosshall2020/tree/main/snRNAseq_SupplementaryData/Antenna_BroadCoexpressionHeatmaps_byChemoreceptor
Antenna,Github: Younger_Herre_Vosshall2020_LFS,Raw Expression Matrix (Batch 1  & 2),N/A,N/A,https://github.com/VosshallLab/Younger_Herre_Vosshall2020_LFS/tree/main/ExpressionMatrices
Antenna,Github: Younger_Herre_Vosshall2020_LFS,Filtered Expression Matrix (Batch 1  & 2),N/A,N/A,https://github.com/VosshallLab/Younger_Herre_Vosshall2020_LFS/tree/main/ExpressionMatrices
Maxillary Palp,Figure 7B,Cell Marker Heatmap ,maxpalp_4.neuralClusters.RData,maxpalp_5.expressedReceptors.R,
Maxillary Palp,Figure 7C,tSNE,maxpalp_3.neuron.Rdata,maxpalp_3.check_receptor.R,
Maxillary Palp,Figure 7D,Neuron Gene Heatmap,maxpalp_4.neuralClusters.RData,maxpalp_5.expressedReceptors.R,
Maxillary Palp,Figure 7E,Chord Plot,maxpalp_4.neuralClusters.RData,maxpalp_5.expressedReceptors.R,
Maxillary Palp,Figure 7F-M,Feature Plot,MaxPalpAllCells.RData,FeaturePlots.R,
Maxillary Palp,Figure S13A,Orco Feature Plot (DeconX illustration),maxpalp_1.Decontx.08192021.Rdata,maxpalp_1.decontX.R,
Maxillary Palp,Figure S13B,Doublet Removal Scatter Plot,maxpalp_2.DoubletFinder.rds,maxpalp_2.doubletfinder.R,
Maxillary Palp,Figure S13C-E,"Genes, UMIs, Mitochondrial Genes Violin Plots",MaxPalpAllCells.RData,ViolinPlots.R,
Maxillary Palp,Figure S13F,Cell Marker Feature Plot,MaxPalpAllCells.RData,FeaturePlots.R,
Maxillary Palp,Figure S13G,Dot Plot Criteria Scatter Plot,maxpalp_4.neuralClusters.RData,maxpalp_5.expressedReceptors.R,
Maxillary Palp,Figure S13H,Neural Marker Dot Plot,MaxPalpAllCells.RData,FeaturePlots.R,
Maxillary Palp,Figure S14A-C,"Genes, UMIs, Mitochondrial Genes Violin Plots (Neuron Clusters)",MaxPalpNeurons.RData,ViolinPlots.R,
Maxillary Palp,Figure S14D,"Gene Expression Violin Plot by Cluster (Gr1, Gr2, Gr3, Ir25a, Orco, Or8, Or49, Ir76b)",MaxPalpNeurons.RData,ViolinPlots.R,
Maxillary Palp,Figure S14E,Neuron Cluster Marker Dot Plot,MaxPalpNeurons.RData,FeaturePlots.R,
Maxillary Palp,Figure S14F-G,Cell Gene Expression Scatter Plot,maxpalp_4.neuralClusters.RData,maxpalp_5.expressedReceptors.R,
Maxillary Palp,Figure S14H,Gene Expression Feature Plot,MaxPalpAllCells.RData,FeaturePlots.R,
Maxillary Palp,Github: Younger_Herre_Vosshall2020,PseudoBulk Tables,MaxPalpAllCells.RData,PseudoBulkTables.R,https://github.com/VosshallLab/Younger_Herre_Vosshall2020/tree/main/snRNAseq_SupplementaryData/PseudobulkTables
Maxillary Palp,Github: Younger_Herre_Vosshall2020,Gene Expression Feature Plots,MaxPalpAllCells.RData,FeaturePlots.R,https://github.com/VosshallLab/Younger_Herre_Vosshall2020/tree/main/snRNAseq_SupplementaryData/MaxPalp_FeaturePlots
Maxillary Palp,Github: Younger_Herre_Vosshall2020,Gene Expression Violin Plots,MaxPalpNeurons.RData,ViolinPlots.R,https://github.com/VosshallLab/Younger_Herre_Vosshall2020/tree/main/snRNAseq_SupplementaryData/MaxPalp_ViolinPlots
Maxillary Palp,Github: Younger_Herre_Vosshall2020,Gene Expression Violin Plots by Cluster,MaxPalpNeurons.RData,ViolinPlots.R,https://github.com/VosshallLab/Younger_Herre_Vosshall2020/tree/main/snRNAseq_SupplementaryData/MaxPalp_ViolinPlots_byCluster
Maxillary Palp,Github: Younger_Herre_Vosshall2020_LFS,Raw Expression Matrix,N/A,N/A,https://github.com/VosshallLab/Younger_Herre_Vosshall2020_LFS/tree/main/ExpressionMatrices
Maxillary Palp,Github: Younger_Herre_Vosshall2020_LFS,Filtered Expression Matrix,N/A,N/A,https://github.com/VosshallLab/Younger_Herre_Vosshall2020_LFS/tree/main/ExpressionMatrices
